Node ID,PageRank
1056,0.00016840228824133006
1054,0.00016648273067010666
1536,0.0001380120283724634
171,0.00013657537618197712
453,0.000131525226332922
407,0.00012806250724722629
263,0.00012764163666286176
4664,0.00012593782353449655
1959,0.00012268913735854537
261,0.00012212458274006566
410,0.00012170075667602414
165,0.00012160882760851345
1198,0.00011577370348111
127,0.0001126426730775304
4054,0.00010984905390278246
2265,0.00010844092732545981
345,0.00010812475165749168
763,0.00010810600933930183
989,0.00010558086539062932
987,0.00010509398156489882
408,0.00010439655136922066
329,0.00010301997931254356
903,0.0001028077126908331
4,0.00010193862257930221
1551,0.00010066852380056032
481,0.00010042254516642742
699,0.00010010934947988065
1598,9.958236109371951e-05
2485,9.92151812710894e-05
982,9.866738116864054e-05
1055,9.83409064250409e-05
2975,9.823627257164538e-05
1971,9.7520496818653e-05
220,9.67881029400249e-05
99,9.604610924951301e-05
147,9.552369843798526e-05
628,9.387202254542553e-05
5397,9.071083949381094e-05
348,9.062256504252273e-05
2177,9.03351706400219e-05
131,9.031735977056739e-05
565,8.967253164677546e-05
695,8.942495650150512e-05
185,8.910841260729561e-05
988,8.893130637216706e-05
568,8.851122351025854e-05
812,8.799352973667332e-05
3881,8.792336311777686e-05
4682,8.779355118341399e-05
4159,8.753426270203465e-05
3076,8.622940046729925e-05
3060,8.617904590454101e-05
1537,8.593585106733967e-05
867,8.575588225872927e-05
412,8.538235294482475e-05
344,8.506662371187792e-05
566,8.373152957891416e-05
1282,8.367270709388063e-05
1503,8.333214616948482e-05
1164,8.260297173471207e-05
889,8.248111625279903e-05
146,8.234286638080491e-05
1456,8.20356630509265e-05
5315,8.138838045869481e-05
2364,8.135041569172772e-05
3802,8.12375026780977e-05
495,8.097994160813982e-05
765,8.066795520065377e-05
761,8.032124061688699e-05
1922,7.981972273190224e-05
1535,7.97254025639721e-05
1943,7.92438730118493e-05
200,7.914906644688918e-05
1534,7.880883625200723e-05
2179,7.832000972403136e-05
819,7.818919561349078e-05
592,7.81873717001281e-05
205,7.808692236611191e-05
2096,7.792710470333651e-05
1248,7.783527045582487e-05
2196,7.745729445546876e-05
3578,7.734765722432839e-05
7008,7.724766702695188e-05
5673,7.692948489818985e-05
696,7.686545859965363e-05
470,7.679138479213903e-05
794,7.619981301916396e-05
167,7.600900620177164e-05
260,7.59896011331682e-05
560,7.544329822470315e-05
1932,7.52202546190879e-05
945,7.498402276785448e-05
1963,7.475442601734012e-05
1217,7.383363626036703e-05
149,7.359053828636633e-05
3587,7.275568675155095e-05
5728,7.252492276144485e-05
3322,7.247233115849175e-05
1186,7.244180399115454e-05
2484,7.240516315050264e-05
129,7.235228406682834e-05
1323,7.176738119274517e-05
1091,7.172822686690481e-05
405,7.158584985947506e-05
2152,7.149754658676269e-05
2195,7.128093152339181e-05
669,7.11925406090512e-05
102,7.092483986550811e-05
664,7.084182129856969e-05
1527,7.075665511457686e-05
1143,7.072217883251618e-05
1553,7.070526780992427e-05
1255,7.041576627079856e-05
648,7.032328419021206e-05
2197,7.028099892213956e-05
624,7.018116984358239e-05
323,7.011983724334122e-05
742,6.979030859921027e-05
1356,6.978657221097768e-05
1116,6.976707604359632e-05
2223,6.914978263483712e-05
118,6.913748140961192e-05
1529,6.905372952225014e-05
984,6.89220324458656e-05
326,6.876019214121224e-05
437,6.834065687581837e-05
562,6.75708539784101e-05
598,6.694624752133851e-05
1506,6.693656633808889e-05
2927,6.692053370034266e-05
155,6.6652404421233e-05
77,6.6536936170374e-05
4870,6.64464966252979e-05
296,6.643197991229619e-05
1058,6.628858434698574e-05
121,6.619707772014522e-05
4673,6.598805267413813e-05
148,6.575578637178472e-05
161,6.575203117780635e-05
2396,6.551699092253785e-05
330,6.538391726859167e-05
1365,6.53471423426709e-05
133,6.52260311276088e-05
1050,6.516616855387972e-05
2018,6.506765517151352e-05
346,6.500503297781658e-05
2864,6.496136688763539e-05
638,6.490609529285914e-05
2283,6.485612480735506e-05
693,6.453209808869721e-05
2799,6.435126350412989e-05
4094,6.427446955159399e-05
1579,6.41180670592637e-05
6769,6.41011368117755e-05
834,6.409025571060992e-05
5826,6.407788694206855e-05
168,6.401006022439217e-05
397,6.391319006032717e-05
3408,6.347216669124802e-05
2888,6.336416007443958e-05
4374,6.330398488199311e-05
735,6.329746970039764e-05
630,6.319010001944891e-05
970,6.315908491660644e-05
4790,6.306221633116213e-05
4142,6.297811375715889e-05
1699,6.279827437498887e-05
1711,6.261764262319683e-05
1934,6.251954246768884e-05
1176,6.244361099971412e-05
1501,6.229233068686344e-05
646,6.199010191943327e-05
640,6.186583837634059e-05
2866,6.178772086969424e-05
343,6.176484055065721e-05
2272,6.161353734953898e-05
1657,6.146939252291375e-05
1962,6.140258635576477e-05
698,6.105395760716022e-05
1855,6.0866486751865786e-05
1717,6.0784970425182966e-05
781,6.0775660004301564e-05
3941,6.07436889882494e-05
6804,6.071529467552353e-05
934,6.069742612690929e-05
347,6.0691438596853e-05
130,6.043558203993228e-05
7431,6.033199522971303e-05
961,6.027338832202108e-05
92,6.0197588101267276e-05
824,6.0182230638494544e-05
4737,6.01780851692984e-05
443,6.016914540900818e-05
1398,6.00765900052435e-05
1141,6.001585778287034e-05
3181,5.9773950735637e-05
2320,5.976039883360704e-05
505,5.973708279387834e-05
2730,5.966110492663334e-05
3399,5.955705128752415e-05
986,5.951161367389459e-05
1408,5.947589763085834e-05
1918,5.924751365809858e-05
2873,5.9114295265055485e-05
1863,5.898077683339652e-05
2837,5.889875513965178e-05
3253,5.8888781861642916e-05
3767,5.87581816573959e-05
186,5.8738491018841146e-05
290,5.858596171770438e-05
3128,5.852973426038854e-05
567,5.850260095851516e-05
5248,5.843895858928202e-05
937,5.8435568143985016e-05
4996,5.843180552260502e-05
2904,5.809411573481448e-05
697,5.7817261461557346e-05
378,5.7786248035958274e-05
4609,5.77798277765184e-05
4765,5.771119183138967e-05
6323,5.770244578419226e-05
720,5.7695064786803874e-05
1099,5.7681715613757954e-05
3885,5.7618464514744245e-05
2836,5.758123797470215e-05
1533,5.746240874933487e-05
538,5.7342708851324244e-05
3091,5.725209852810891e-05
50,5.722434354609149e-05
4798,5.7212689712787073e-05
3548,5.7098664925728526e-05
1769,5.704288360124472e-05
1156,5.7032509725217274e-05
5353,5.6916362731515264e-05
3075,5.691539662468667e-05
250,5.657469620826306e-05
1502,5.656315720249149e-05
174,5.647509896271967e-05
1751,5.640073576011047e-05
2867,5.628075822241183e-05
860,5.6219359016159986e-05
694,5.617368590532549e-05
2684,5.610452916201408e-05
7858,5.59630087588226e-05
44,5.587467075526046e-05
4391,5.577952865497862e-05
4654,5.571619214287118e-05
993,5.559188388208691e-05
786,5.556347389495934e-05
4407,5.549149067135364e-05
3004,5.542790983541769e-05
3428,5.5377074334930635e-05
4003,5.528003009739957e-05
3439,5.5165828739689156e-05
459,5.513403331122272e-05
223,5.511863660808268e-05
128,5.5085438635359404e-05
456,5.502801128221333e-05
3216,5.4809819882869865e-05
633,5.47971955050939e-05
2010,5.470112897471675e-05
1995,5.467453898045276e-05
114,5.461793324742406e-05
1614,5.455747401724009e-05
8662,5.452346709840962e-05
4143,5.451873786211356e-05
3684,5.448127764011292e-05
288,5.440600888717511e-05
33,5.437940867362037e-05
